Szint	Főhadiszállás	Barakk	Istálló	Műhely	Akadémia	Kovácsműhely	Gyülekezőhely	Szobor	Piac	Fatelep	Agyagbánya	Vasbánya	Tanya	Raktár	Rejtekhely	Fal
1	10	16	20	24	512	19	0	24	10	6	6	6	5	6	5	8
2	12	19	24	29		23			12	7	7	7	6	7	6	10
3	14	23	29	35		27			14	9	9	9	7	9	7	12
4	17	28	35	41		33			17	10	10	10	9	10	9	14
5	21	33	41	50		39			21	12	12	12	10	12	10	17
6	25	40	50	60		47			25	15	15	15	12	15	12	20
7	30	48	60	72		57			30	18	18	18	15	18	15	24
8	36	57	72	86		68			36	21	21	21	18	21	18	29
9	43	69	86	103		82			43	26	26	26	21	26	21	34
10	52	83	103	124		98			52	31	31	31	26	31	26	41
11	62	99	124	149		118			62	37	37	37	31	37		50
12	74	119	149	178		141			74	45	45	45	37	45		59
13	89	143	178	214		169			89	53	53	53	45	53		71
14	107	171	214	257		203			107	64	64	64	53	64		86
15	128	205	257	308		244			128	77	77	77	64	77		103
16	154	247	308			293			154	92	92	92	77	92		123
17	185	296	370			351			185	111	111	111	92	111		148
18	222	355	444			422			222	133	133	133	111	133		177
19	266	426	532			506			266	160	160	160	133	160		213
20	319	511	639			607			319	192	192	192	160	192		256
21	383	613							383	230	230	230	192	230		
22	460	736							460	276	276	276	230	276		
23	552	883							552	331	331	331	276	331		
24	662	1.060							662	397	397	397	331	397		
25	795	1.272							795	477	477	477	397	477		
26	954								954	572	572	572	477	572		
27	1.145								1.145	687	687	687	572	687		
28	1.374								1.374	824	824	824	687	824		
29	1.648								1.648	989	989	989	824	989		
30	1.978								1.978	1.187	1.187	1.187	989	1.187		
